"scaled","SJ01","SJ02","SJ03","SJ04","SJ05","SJ06","SJ07","SJ08","SJ09","SJ10","SJ11","SJ12","SJ13","SJ14","SJ15","SJ16","SJ17","SJ18","SJ19","SJ20"
1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,NA,NA,NA,0.257471469884247,NA,NA,0.301912552505428,NA,NA,NA,NA,NA,0.258097171019669,NA,NA,NA,NA,NA,NA,NA
1993,NA,NA,0.220032895917338,0.462267715412015,NA,NA,0.372251874476442,NA,NA,0.221809170419772,NA,NA,0.385610554350373,NA,NA,NA,NA,NA,NA,NA
1994,NA,0.228741779978682,0.356417325522676,0.822677054175286,NA,NA,0.391790518516758,NA,NA,0.331457074039469,NA,NA,0.477722438536862,NA,NA,0.281214011298849,NA,NA,NA,NA
1995,NA,0.257185986990127,0.371983431968195,0.719486569815747,NA,0.226308687064198,0.432261708153152,0.201734767920888,NA,0.399182269746444,NA,NA,0.673406973633485,NA,NA,0.304056818123881,NA,NA,NA,NA
1996,NA,0.313895141811449,0.326950799593002,0.54602473505275,0.205184346519778,0.267386358557497,0.389924060007872,0.219081069470017,0.204087026444253,0.422214950492003,NA,NA,0.691959418815452,0.254443783950185,NA,NA,NA,NA,NA,NA
1997,NA,NA,0.255784852678437,0.367118903302512,NA,0.21672506449111,0.35264449871513,0.202068993896631,NA,0.2643287103792,NA,NA,0.557480275769965,NA,NA,NA,NA,NA,NA,NA
1998,NA,NA,NA,0.21613479095838,0.284390573115741,NA,0.283123154682718,0.204969505770745,NA,0.221133530878208,NA,NA,0.46915389453431,NA,NA,NA,NA,NA,NA,NA
1999,NA,NA,NA,NA,0.4693438829043,0.203139314179727,NA,0.240742485551488,NA,0.231448797624714,NA,NA,0.374427050890275,NA,NA,NA,NA,NA,NA,NA
2000,NA,NA,NA,0.285878814449708,0.607561678929084,0.263304779844423,NA,0.361597146972918,NA,0.243053472714532,NA,NA,0.415390010303912,NA,NA,NA,NA,NA,NA,NA
2001,NA,NA,NA,NA,0.66026342849249,NA,NA,0.313851934246319,NA,NA,NA,NA,NA,NA,0.22692053425539,NA,NA,NA,NA,NA
2002,NA,NA,NA,NA,0.34263479630173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,NA,NA,NA,NA,0.279570377516977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,NA,NA,NA,NA,0.364486979831938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,NA,NA,NA,NA,0.385403688504415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,NA,NA,NA,NA,0.369811047029163,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.292409719167363,NA,NA,NA,NA,NA
