"letter","site","mivariable"
"a","caH","ft_dn"
"a","caL","ft_dn"
"b","sj","ft_dn"
"a","caH","ft_h"
"b","caL","ft_h"
"b","sj","ft_h"
"a","caH","all_dn"
"b","caL","all_dn"
"b","sj","all_dn"
"a","caH","all_h"
"b","caL","all_h"
"ab","sj","all_h"
"a","caH","ba"
"ab","caL","ba"
"b","sj","ba"
"a","caH","std"
"a","caL","std"
"a","sj","std"
