"AllReleasesYear","AllReleasesFreq","NumberOfAllReleses","ModerateReleasesFreq","NumberOfModeraeReleases","NumberOfAllTrees"
"1889",7.14,1,0,0,14
"1893",14.29,2,0,0,14
"1898",7.14,1,0,0,14
"1913",6.67,1,0,0,15
"1924",6.67,1,0,0,15
"1928",6.67,1,0,0,15
"1931",6.67,1,0,0,15
"1952",6.67,1,0,0,15
"1962",6.67,1,0,0,15
"1966",6.67,1,0,0,15
"1967",6.67,1,0,0,15
"1972",6.67,1,0,0,15
"1981",6.67,1,0,0,15
"1982",6.67,1,0,0,15
"1998",6.67,1,0,0,15
"2001",6.67,1,0,0,15
"2002",6.67,1,0,0,15
"2003",20,3,0,0,15
"2004",6.67,1,0,0,15
